turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB,phAdvance,phBfLayout,phBfGrid,phBfEmit,phBfTotal,phAdvIngest,phAdvRoles,phAdvReveal,phAdvEnsure,phAdvSchedule,tierHot,tierWarm,rebuilds
9,22653,9072,1308,2146,31,19.69,19.8,0.1,0.1,0,0.3,0.4,0.1,0,0,0,0,4,5,0
25,63600,9252,1308,2182,60,6.76,19.8,0.2,0.2,0.2,0.5,0.9,0,0.1,0,0,0.1,4,21,0
42,107154,11565,1635,2182,60,6.72,19.8,7,0.2,0.1,0.3,0.6,0.8,0.1,0.6,5.3,0.2,5,37,1
53,135336,9252,1308,2182,43,6.36,19.8,0.3,0.3,0.2,0.5,1,0.2,0,0,0,0.1,4,49,0
69,176328,9252,1308,2182,60,6.67,19.8,0.4,0.4,0.2,0.5,1.1,0.3,0,0,0,0.1,4,65,0
86,219882,11565,1635,2182,60,6.71,19.8,7.1,0.3,0.1,0.3,0.8,1,0,1.1,4.9,0.1,5,81,1
100,255750,11565,1635,2182,53,6.49,19.8,7.5,0.3,0.1,0.3,0.8,0.9,0,1.4,5.1,0.1,5,95,1
116,297462,9432,1308,2224,60,6.76,20.7,0.2,0.3,0.2,0.3,0.8,0.1,0,0,0,0.1,4,112,0
132,339174,9432,1308,2224,60,6.88,22.6,0.4,0.6,0.3,0.4,1.3,0.4,0,0,0,0,4,128,0
145,373065,9432,1308,2224,49,6.7,24.3,0.4,0.6,0.4,0.5,1.5,0.3,0,0,0,0.1,4,141,0
162,417384,11790,1635,2224,60,7.2,26.3,8.3,0.3,0.3,0.4,1,1.1,0.1,1.7,5.2,0.2,5,157,1
178,459096,9432,1308,2224,60,7.19,28.1,0.4,0.5,0.3,0.3,1.2,0.3,0,0,0,0.1,4,174,0
193,498201,9432,1308,2224,54,7.27,29.9,0.5,0.8,0.3,0.4,1.5,0.4,0,0,0,0.1,4,189,0
200,516450,9432,1308,2224,54,6.82,30.8,0.7,0.8,0.5,0.5,1.8,0.6,0.1,0,0,0,4,196,0
200,516450,9432,1308,2224,60,6.42,30.8,0.7,0.8,0.5,0.5,1.8,0.6,0.1,0,0,0,4,196,0
200,516450,9432,1308,2224,60,6.29,30.8,0.7,0.8,0.6,0.5,1.9,0.6,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,60,6.29,30.8,0.7,0.8,0.6,0.5,1.9,0.6,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,29,5.93,30.8,0.5,0.7,0.5,0.4,1.6,0.4,0,0,0.1,0,4,196,0
200,516450,9432,1308,2224,60,6.3,30.8,0.4,0.6,0.4,0.4,1.4,0.3,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,60,6.41,30.8,0.7,0.8,0.5,0.5,1.8,0.6,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,47,6.2,30.8,0.5,0.7,0.5,0.4,1.6,0.4,0,0,0,0.1,4,196,0
