turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB,phAdvance,phBfLayout,phBfGrid,phBfEmit,phBfTotal
2,5034,4536,654,2146,8,62.21,19.6,1,0.1,0.1,0.2,0.4
14,35418,31932,4578,2182,46,9.39,19.6,4.1,0.2,0,0.4,0.6
22,55914,50436,7194,2182,27,11.38,19.6,13.1,0.3,0.1,0.2,0.6
38,96906,87444,12426,2182,60,14.23,19.6,17.6,0.5,0.1,0.3,0.9
50,127650,115200,16350,2182,48,18.66,19.8,15.1,0.5,0.1,0.3,0.9
62,158394,142956,20274,2182,40,22.84,22.2,24.8,0.5,0.1,0.2,0.8
71,181452,163773,23217,2182,36,25.83,25,21.4,0.6,0.1,0.3,1
78,199386,179964,25506,2182,26,28.59,26.8,23.6,0.6,0.1,0.3,1
85,217320,196155,27795,2182,24,31.71,28.8,26.4,0.7,0.1,0.3,1.1
85,217320,196155,27795,2182,24,31.71,30.4,26.4,0.7,0.1,0.3,1.1
92,235254,212346,30084,2182,24,33.61,31.3,29.3,0.7,0.2,0.2,1.1
96,245502,221598,31392,2182,15,36.07,33.5,29.6,0.7,0.2,0.2,1.1
103,263571,237924,33681,2224,27,36.55,35,30.8,0.8,0.2,0.3,1.3
110,281820,254430,35970,2224,22,39.01,36.7,39.5,0.9,0.2,0.3,1.4
116,297462,268578,37932,2224,23,41.78,38.1,36.5,0.9,0.3,0.2,1.4
121,310497,280368,39567,2224,18,43.8,39.8,37.6,0.9,0.3,0.2,1.4
127,326139,294516,41529,2224,20,45.55,40.9,46.1,1.1,0.2,0.3,1.6
132,339174,306306,43164,2224,19,47.22,42.1,46.9,1,0.3,0.2,1.5
137,352209,318096,44799,2224,19,50.06,43.8,44,1.1,0.2,0.3,1.6
142,365244,329886,46434,2224,19,52.58,44.9,46.7,1.1,0.4,0.2,1.7
147,378279,341676,48069,2224,18,54.16,46.3,47.6,1.1,0.3,0.3,1.7
152,391314,353466,49704,2224,18,55.64,47.6,55.1,1.3,0.4,0.3,2
157,404349,365256,51339,2224,17,57.71,48.8,62.8,1.3,0.4,0.3,2
161,414777,374688,52647,2224,16,59.19,50.2,52.4,1.3,0.3,0.3,1.9
166,427812,386478,54282,2224,16,61.05,51.2,63.7,1.4,0.4,0.3,2.1
170,438240,395910,55590,2224,16,62.03,52.3,55.6,1.3,0.3,0.3,1.9
174,448668,405342,56898,2224,16,63.56,53.4,56.7,1.3,0.4,0.2,1.9
178,459096,414774,58206,2224,15,64.91,54.5,57.9,1.4,0.4,0.2,2
182,469524,424206,59514,2224,15,66.56,55.7,59.3,1.5,0.4,0.2,2.1
186,479952,433638,60822,2224,14,68.2,56.8,61.9,1.4,0.4,0.3,2.1
190,490380,443070,62130,2224,14,69.63,57.9,61.5,1.5,0.4,0.3,2.2
194,500808,452502,63438,2224,13,70.8,58.7,62.9,1.6,0.5,0.2,2.3
198,511236,461934,64746,2224,14,71.47,59.8,64.8,1.5,0.4,0.2,2.1
200,516450,466650,65400,2224,14,71.82,60.1,64.7,1.6,0.4,0.3,2.3
200,516450,466650,65400,2224,14,70.91,60.1,65.6,1.6,0.3,0.3,2.2
200,516450,466650,65400,2224,14,71.53,60.1,71.2,1.6,0.5,0.2,2.3
200,516450,466650,65400,2224,13,73.67,60.1,68,2,0.6,0.3,2.9
200,516450,466650,65400,2224,12,73.58,60.1,67.1,1.6,0.5,0.2,2.3
200,516450,466650,65400,2224,13,73.71,60.1,67.2,1.7,0.4,0.4,2.5
200,516450,466650,65400,2224,13,73.71,60.1,67.2,1.7,0.4,0.4,2.5
200,516450,466650,65400,2224,14,73.52,60.1,67.1,1.9,0.4,0.3,2.6
200,516450,466650,65400,2224,14,73.41,60.1,66.9,1.6,0.4,0.3,2.3
