turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB,phAdvance,phBfLayout,phBfGrid,phBfEmit,phBfTotal,phAdvIngest,phAdvRoles,phAdvReveal,phAdvEnsure,phAdvSchedule,tierHot,tierWarm,rebuilds
5,12585,11340,1635,2146,17,24.45,19.6,9.4,0.1,0.1,0.2,0.5,0.8,0,0.8,7.4,0.4,5,0,1
16,40542,11565,1635,2182,40,6.64,19.6,8.3,0.4,0.1,0.3,0.8,0.9,0,0.5,6.6,0.3,5,11,1
30,76410,9252,1308,2182,53,6.19,19.6,0,0.3,0.1,0.2,0.6,0,0,0,0,0,4,26,0
43,109716,9252,1308,2182,48,6.18,19.6,0.2,0.3,0.2,0.4,0.9,0.1,0,0,0,0.1,4,39,0
43,109716,9252,1308,2182,48,6.18,19.6,0.2,0.3,0.2,0.4,0.9,0.1,0,0,0,0.1,4,39,0
55,140460,9252,1308,2182,43,6.22,19.6,0.2,0.3,0.2,0.4,0.9,0.1,0,0,0,0.1,4,51,0
69,176328,11565,1635,2182,49,6.41,19.6,7.8,0.2,0.1,0.2,0.6,1.1,0,1.2,5.4,0.1,5,64,1
82,209634,11565,1635,2182,49,6.36,19.6,7.5,0.3,0.1,0.3,0.8,0.8,0,1.4,5.1,0.1,5,77,1
95,242940,9252,1308,2182,50,6.26,19.6,0.2,0.2,0.2,0.2,0.6,0.2,0,0,0,0,4,91,0
108,276606,9432,1308,2224,50,6.47,20.9,0.1,0.3,0.2,0.3,0.8,0,0,0,0,0.1,4,104,0
121,310497,9432,1308,2224,48,6.63,22.6,0.1,0.5,0.3,0.4,1.2,0,0,0,0,0.1,4,117,0
135,346995,9432,1308,2224,50,6.68,24.3,0.2,0.4,0.3,0.3,1,0.1,0,0,0,0.1,4,131,0
148,380886,11790,1635,2224,47,6.95,25.6,6.9,0.4,0.3,0.2,0.9,0.7,0,1.4,4.6,0.2,5,143,1
159,409563,9432,1308,2224,41,6.75,27.2,0.2,0.5,0.4,0.4,1.3,0.2,0,0,0,0,4,155,0
174,448668,9432,1308,2224,55,6.98,28.9,0.3,0.6,0.5,0.4,1.5,0.1,0,0,0,0.2,4,170,0
187,482559,9432,1308,2224,49,7.04,30.5,0.2,0.5,0.4,0.3,1.2,0.2,0,0,0,0,4,183,0
200,516450,9432,1308,2224,54,6.67,30.8,0.3,0.7,0.5,0.5,1.8,0.2,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,45,5.82,30.8,0.3,0.8,0.5,0.4,1.7,0.1,0.1,0,0,0.1,4,196,0
200,516450,9432,1308,2224,56,5.67,30.8,0.4,1,0.5,0.5,2,0.3,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,49,5.71,30.8,0.4,0.6,0.4,0.4,1.4,0.2,0,0,0,0.2,4,196,0
200,516450,9432,1308,2224,47,5.75,30.8,0.4,0.9,0.7,0.4,2,0.3,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,51,5.71,30.8,0.3,0.7,0.6,0.4,1.7,0.2,0,0,0,0.1,4,196,0
200,516450,9432,1308,2224,33,5.51,30.8,0.2,0.5,0.4,0.1,1,0.2,0,0,0,0,4,196,0
200,516450,9432,1308,2224,53,5.65,30.8,0.2,0.6,0.5,0.3,1.4,0.2,0,0,0,0,4,196,0
