turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB,phAdvance,phBfLayout,phBfGrid,phBfEmit,phBfTotal,phAdvIngest,phAdvRoles,phAdvReveal,phAdvEnsure,phAdvSchedule,tierHot,tierWarm,rebuilds
5,12585,9016,1280,1625,17,59.03,21.9,37.3,0,0,0.4,0.4,0,0,0,37,0.3,4,1,4
14,35418,9196,1280,1657,33,7.78,21.9,0.1,0.2,0,0.3,0.5,0.1,0,0,0,0,4,10,0
31,78972,11495,1600,1657,60,7.22,21.9,8.5,0.2,0,0.3,0.6,0.8,0.1,0.7,6.7,0.2,5,26,1
47,119964,11495,1600,1657,60,6.94,21.9,8.6,0.2,0,0.3,0.7,0.9,0,0.8,6.7,0.2,5,42,1
63,160956,9196,1280,1657,60,6.99,21.9,0.2,0.3,0,0.4,0.7,0.2,0,0,0,0,4,59,0
79,201948,9196,1280,1657,60,7.1,21.9,0.3,0.4,0.1,0.3,0.8,0.2,0,0,0,0.1,4,75,0
95,242940,9196,1280,1657,60,7.28,21.9,0.3,0.4,0,0.4,0.8,0.3,0,0,0,0,4,91,0
111,284427,9376,1280,1689,60,7.39,21.9,0.4,0.4,0.1,0.3,0.8,0.2,0.1,0,0,0.1,4,107,0
127,326139,9376,1280,1576,60,7.6,21.9,0.4,0.5,0,0.3,0.8,0.3,0.1,0,0,0,4,123,0
144,370458,11720,1600,1576,60,7.8,23.5,9.9,0.8,0,0.4,1.2,1.1,0,1.6,7.1,0.1,5,139,1
160,412170,9376,1280,1576,60,7.83,25.6,0.5,0.7,0,0.4,1.1,0.4,0,0,0,0.1,4,156,0
176,453882,9376,1280,1694,60,7.97,27.5,0.6,0.7,0,0.3,1,0.5,0,0,0.1,0,4,172,0
193,498201,11720,1600,1576,60,8.44,29.4,11.1,0.8,0.1,0.3,1.3,1.2,0,2.4,7.3,0.2,5,188,1
200,516450,9376,1280,1576,60,7.02,29.7,0.5,0.9,0,0.3,1.2,0.5,0,0,0,0,4,196,0
200,516450,9376,1280,1576,60,5.81,29.7,0.6,0.8,0,0.3,1.1,0.5,0,0,0,0.1,4,196,0
200,516450,9376,1280,1576,60,5.86,29.7,0.5,0.8,0,0.3,1.1,0.5,0,0,0,0,4,196,0
200,516450,9376,1280,1576,60,5.98,29.7,0.7,0.8,0,0.4,1.2,0.5,0.1,0,0,0.1,4,196,0
200,516450,9376,1280,1576,60,6.11,29.7,0.6,0.8,0,0.4,1.2,0.5,0,0,0,0.1,4,196,0
200,516450,9376,1280,1576,60,6,29.7,0.6,0.8,0.1,0.3,1.2,0.4,0.1,0,0,0.1,4,196,0
200,516450,9376,1280,1576,60,6.01,29.7,0.6,0.8,0,0.4,1.2,0.5,0,0,0,0.1,4,196,0
200,516450,9376,1280,1576,60,6.08,29.7,0.7,0.8,0,0.4,1.2,0.6,0,0,0,0.1,4,196,0
200,516450,9376,1280,1576,60,6,29.7,0.6,0.8,0,0.4,1.2,0.5,0,0,0,0.1,4,196,0
